domain,set,src,txt,tp,q,a
fin,annual,megafon1.pdf,"Выручка
В 2021 году в условиях восстановления экономики и постепенного снятия
ограничений, связанных c пандемией COVID-19, выручка МегаФона достигла
354,2 млрд руб., показав рекордный с 2013 года рост на 6,6%. При этом
увеличение наблюдалось во всех основных сегментах.
Сервисная выручка в 2021 году выросла на 4,4%, до 316,4 млрд руб.
В мобильном сегменте основными драйверами роста стали: мобильная
передача данных благодаря увеличению числа активных абонентов, контентуслуги, в том числе группы START, а также М2М-услуги и аналитические
сервисы с использованием Big Data. Положительное влияние также оказал
рост спроса на международный роуминг. В фиксированном сегменте рост
наблюдался в основном за счет увеличения международного трафика и ИКТпроектов.
Выручка от продажи оборудования и аксессуаров в 2021 году выросла
на 29,7%, до 37,8 млрд руб., в результате роста активности покупателей
в розничной сети по сравнению с прошлым годом. Наиболее заметный рост
продаж отмечался в сегменте смартфонов высоких ценовых категорий.
Выручка, полученная в России, является основной для МегаФона
и составляет 98% от общей выручки.",Simple,Какой объём выручки был зафиксирован у МегаФона в 2021 году?,"354,2 млрд руб."
fin,annual,megafon1.pdf,"Выручка
В 2021 году в условиях восстановления экономики и постепенного снятия
ограничений, связанных c пандемией COVID-19, выручка МегаФона достигла
354,2 млрд руб., показав рекордный с 2013 года рост на 6,6%. При этом
увеличение наблюдалось во всех основных сегментах.
Сервисная выручка в 2021 году выросла на 4,4%, до 316,4 млрд руб.
В мобильном сегменте основными драйверами роста стали: мобильная
передача данных благодаря увеличению числа активных абонентов, контентуслуги, в том числе группы START, а также М2М-услуги и аналитические
сервисы с использованием Big Data. Положительное влияние также оказал
рост спроса на международный роуминг. В фиксированном сегменте рост
наблюдался в основном за счет увеличения международного трафика и ИКТпроектов.
Выручка от продажи оборудования и аксессуаров в 2021 году выросла
на 29,7%, до 37,8 млрд руб., в результате роста активности покупателей
в розничной сети по сравнению с прошлым годом. Наиболее заметный рост
продаж отмечался в сегменте смартфонов высоких ценовых категорий.
Выручка, полученная в России, является основной для МегаФона
и составляет 98% от общей выручки.",With errors,"Сколко виручки у МегаФона в 2021 годy было зафиксированно, если не трутдно?","354,2 млрд руб."
fin,annual,megafon1.pdf,"Выручка
В 2021 году в условиях восстановления экономики и постепенного снятия
ограничений, связанных c пандемией COVID-19, выручка МегаФона достигла
354,2 млрд руб., показав рекордный с 2013 года рост на 6,6%. При этом
увеличение наблюдалось во всех основных сегментах.
Сервисная выручка в 2021 году выросла на 4,4%, до 316,4 млрд руб.
В мобильном сегменте основными драйверами роста стали: мобильная
передача данных благодаря увеличению числа активных абонентов, контентуслуги, в том числе группы START, а также М2М-услуги и аналитические
сервисы с использованием Big Data. Положительное влияние также оказал
рост спроса на международный роуминг. В фиксированном сегменте рост
наблюдался в основном за счет увеличения международного трафика и ИКТпроектов.
Выручка от продажи оборудования и аксессуаров в 2021 году выросла
на 29,7%, до 37,8 млрд руб., в результате роста активности покупателей
в розничной сети по сравнению с прошлым годом. Наиболее заметный рост
продаж отмечался в сегменте смартфонов высоких ценовых категорий.
Выручка, полученная в России, является основной для МегаФона
и составляет 98% от общей выручки.",Trash,"Привет, я тут пытаюсь настроить роутер, но не получается. Кстати, у меня вопрос: не подскажете, как компания МегаФон показала себя в плане доходов в 2021 году? И ещё, может, знаете, как исправить ошибку 404 на сайте?","354,2 млрд руб."
fin,annual,megafon1.pdf,"Выручка
В 2021 году в условиях восстановления экономики и постепенного снятия
ограничений, связанных c пандемией COVID-19, выручка МегаФона достигла
354,2 млрд руб., показав рекордный с 2013 года рост на 6,6%. При этом
увеличение наблюдалось во всех основных сегментах.
Сервисная выручка в 2021 году выросла на 4,4%, до 316,4 млрд руб.
В мобильном сегменте основными драйверами роста стали: мобильная
передача данных благодаря увеличению числа активных абонентов, контентуслуги, в том числе группы START, а также М2М-услуги и аналитические
сервисы с использованием Big Data. Положительное влияние также оказал
рост спроса на международный роуминг. В фиксированном сегменте рост
наблюдался в основном за счет увеличения международного трафика и ИКТпроектов.
Выручка от продажи оборудования и аксессуаров в 2021 году выросла
на 29,7%, до 37,8 млрд руб., в результате роста активности покупателей
в розничной сети по сравнению с прошлым годом. Наиболее заметный рост
продаж отмечался в сегменте смартфонов высоких ценовых категорий.
Выручка, полученная в России, является основной для МегаФона
и составляет 98% от общей выручки.",Reformulation,Какие направления деятельности компании обеспечили значительное увеличение её финансовых показателей в постпандемийный период?,"Рост наблюдался во всех основных сегментах: мобильная передача данных, контент-услуги (включая группу START), М2М-услуги, Big Data, международный роуминг, международный трафик, ИКТ-проекты, продажа оборудования (особенно смартфонов премиум-класса)."
fin,annual,megafon1.pdf,"Выручка
В 2021 году в условиях восстановления экономики и постепенного снятия
ограничений, связанных c пандемией COVID-19, выручка МегаФона достигла
354,2 млрд руб., показав рекордный с 2013 года рост на 6,6%. При этом
увеличение наблюдалось во всех основных сегментах.
Сервисная выручка в 2021 году выросла на 4,4%, до 316,4 млрд руб.
В мобильном сегменте основными драйверами роста стали: мобильная
передача данных благодаря увеличению числа активных абонентов, контентуслуги, в том числе группы START, а также М2М-услуги и аналитические
сервисы с использованием Big Data. Положительное влияние также оказал
рост спроса на международный роуминг. В фиксированном сегменте рост
наблюдался в основном за счет увеличения международного трафика и ИКТпроектов.
Выручка от продажи оборудования и аксессуаров в 2021 году выросла
на 29,7%, до 37,8 млрд руб., в результате роста активности покупателей
в розничной сети по сравнению с прошлым годом. Наиболее заметный рост
продаж отмечался в сегменте смартфонов высоких ценовых категорий.
Выручка, полученная в России, является основной для МегаФона
и составляет 98% от общей выручки.",Incorrect by design,Почему выручка МегаФона в 2021 году снизилась из-за пандемийных ограничений?,"Утверждение неверно. Выручка МегаФона в 2021 году выросла на 6,6% (до 354,2 млрд руб.) благодаря восстановлению экономики и снятию ограничений. Рост был зафиксирован во всех сегментах, включая мобильные и фиксированные услуги, а также продажу оборудования."
fin,annual,megafon1.pdf,"В своей деятельности МегаФон ориентируется на высокие этические стандарты ведения бизнеса и придерживается принципов честности, открытости и прозрачности.
В МегаФоне и его дочерних компаниях действует Кодекс этики и корпоративного поведения, который определяет основные принципы и нормы делового поведения для сотрудников и членов Совета директоров. Документ обозначает позицию Компании в отношении коррупции, дискриминации, конфликта интересов, недостойного поведения и закрепляет требования по обеспечению законности, добросовестности, равноправия, информационной открытости.
В Компании непрерывно функционирует «Прямая линия», где сотрудники и заинтересованные стороны могут получить консультацию по соблюдению Кодекса этики и корпоративного поведения, в том числе по вопросам того, считаются ли те или иные действия коррупционными, а также конфиденциально (и в случае необходимости анонимно) сообщить о нарушениях.",Simple,Какой документ регулирует нормы делового поведения сотрудников и членов Совета директоров МегаФона?,Кодекс этики и корпоративного поведения.
fin,annual,megafon1.pdf,"В своей деятельности МегаФон ориентируется на высокие этические стандарты ведения бизнеса и придерживается принципов честности, открытости и прозрачности.
В МегаФоне и его дочерних компаниях действует Кодекс этики и корпоративного поведения, который определяет основные принципы и нормы делового поведения для сотрудников и членов Совета директоров. Документ обозначает позицию Компании в отношении коррупции, дискриминации, конфликта интересов, недостойного поведения и закрепляет требования по обеспечению законности, добросовестности, равноправия, информационной открытости.
В Компании непрерывно функционирует «Прямая линия», где сотрудники и заинтересованные стороны могут получить консультацию по соблюдению Кодекса этики и корпоративного поведения, в том числе по вопросам того, считаются ли те или иные действия коррупционными, а также конфиденциально (и в случае необходимости анонимно) сообщить о нарушениях.",With errors,Какои документ регулирует нормы деловово поведение сотрудников и члены Совета директоров в МегаФоне? (Опишите название документа),Кодекс этики и корпоративного поведения.
fin,annual,megafon1.pdf,"В своей деятельности МегаФон ориентируется на высокие этические стандарты ведения бизнеса и придерживается принципов честности, открытости и прозрачности.
В МегаФоне и его дочерних компаниях действует Кодекс этики и корпоративного поведения, который определяет основные принципы и нормы делового поведения для сотрудников и членов Совета директоров. Документ обозначает позицию Компании в отношении коррупции, дискриминации, конфликта интересов, недостойного поведения и закрепляет требования по обеспечению законности, добросовестности, равноправия, информационной открытости.
В Компании непрерывно функционирует «Прямая линия», где сотрудники и заинтересованные стороны могут получить консультацию по соблюдению Кодекса этики и корпоративного поведения, в том числе по вопросам того, считаются ли те или иные действия коррупционными, а также конфиденциально (и в случае необходимости анонимно) сообщить о нарушениях.",Trash,"Привет, у меня проблема с интернетом на телефоне, не могу зайти в приложение МегаФона. Кстати, а вы знаете, какой документ у них регулирует поведение сотрудников? Я слышал, что там есть какие-то правила про конфликты интересов и открытость информации.",Кодекс этики и корпоративного поведения.
fin,annual,megafon1.pdf,"В своей деятельности МегаФон ориентируется на высокие этические стандарты ведения бизнеса и придерживается принципов честности, открытости и прозрачности.
В МегаФоне и его дочерних компаниях действует Кодекс этики и корпоративного поведения, который определяет основные принципы и нормы делового поведения для сотрудников и членов Совета директоров. Документ обозначает позицию Компании в отношении коррупции, дискриминации, конфликта интересов, недостойного поведения и закрепляет требования по обеспечению законности, добросовестности, равноправия, информационной открытости.
В Компании непрерывно функционирует «Прямая линия», где сотрудники и заинтересованные стороны могут получить консультацию по соблюдению Кодекса этики и корпоративного поведения, в том числе по вопросам того, считаются ли те или иные действия коррупционными, а также конфиденциально (и в случае необходимости анонимно) сообщить о нарушениях.",Reformulation,Какая система правил в МегаФоне обеспечивает соблюдение принципов честности и прозрачности в рабочих процессах?,Кодекс этики и корпоративного поведения.
fin,annual,megafon1.pdf,"В своей деятельности МегаФон ориентируется на высокие этические стандарты ведения бизнеса и придерживается принципов честности, открытости и прозрачности.
В МегаФоне и его дочерних компаниях действует Кодекс этики и корпоративного поведения, который определяет основные принципы и нормы делового поведения для сотрудников и членов Совета директоров. Документ обозначает позицию Компании в отношении коррупции, дискриминации, конфликта интересов, недостойного поведения и закрепляет требования по обеспечению законности, добросовестности, равноправия, информационной открытости.
В Компании непрерывно функционирует «Прямая линия», где сотрудники и заинтересованные стороны могут получить консультацию по соблюдению Кодекса этики и корпоративного поведения, в том числе по вопросам того, считаются ли те или иные действия коррупционными, а также конфиденциально (и в случае необходимости анонимно) сообщить о нарушениях.",Incorrect by design,"Почему Кодекс этики МегаФона распространяется только на рядовых сотрудников, а не на руководство?","Вопрос содержит ошибку: Кодекс этики и корпоративного поведения регулирует поведение как сотрудников, так и членов Совета директоров (прямо указано в контексте)."
