tp,q,a,txt,src,domain,set
Simple,Какие цели определяет Трудовой кодекс Российской Федерации для трудового законодательства?,"Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.""",labour.pdf,law,labour
With errors,Каковы цли трудвого законодатльства РФ?,"Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Trash,"Какие вообще цели, задачи, направления, аспекты или что-то еще определяет Трудовой кодекс Российской Федерации для регулирования трудовых отношений в стране?","Установление государственных гарантий трудовых прав и свобод граждан, создание благоприятных условий труда, защита прав и интересов работников и работодателей.","Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Reformulation,Устанавливает ли Трудовой кодекс РФ государственные гарантии трудовых прав?,Да,"Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Incorrect by design,Определяет ли Трудовой кодекс РФ гарантии только для работодателей?,Нет,"Статья 1. Цели и задачи трудового законодательства: ""Целями трудового законодательства являются установление государственных гарантий трудовых прав...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
No info,Какие штрафы предусмотрены за нарушение условий коллективного договора?,В предоставленном тексте информация о штрафах за нарушение условий коллективного договора отсутствует.,Информация отсутствует в данном тексте.,labour.pdf,law,labour
,,,,labour.pdf,law,labour
Simple,Какие основные принципы правового регулирования трудовых отношений указаны в Трудовом кодексе РФ?,"Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
With errors,Каковы оснвные принцпы праввого регулирования трудвых отношений?,"Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
Trash,"Какие вообще основные принципы, аспекты и направления указаны в Трудовом кодексе РФ для регулирования трудовых отношений?","Свобода труда, запрет дискриминации, защита от безработицы, право на справедливые условия труда, равенство прав и возможностей работников.","Статья 2. Основные принципы правового регулирования трудовых отношений: ""Свобода труда, включая право на труд... запрет дискриминации в сфере труда...""",labour.pdf,law,labour
Reformulation,Указан ли в Трудовом кодексе РФ запрет дискриминации в сфере труда?,Да,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Запрещение принудительного труда и дискриминации в сфере труда...""",labour.pdf,law,labour
Incorrect by design,Указывает ли Трудовой кодекс РФ только права работодателей?,Нет,"Статья 2. Основные принципы правового регулирования трудовых отношений: ""Обеспечение права каждого работника... обеспечение равенства возможностей работников...""",labour.pdf,law,labour
Table,,,,labour.pdf,law,labour
