tp,q,a,txt,src,domain,set
Simple,"Какая деятельность определяется как деятельность по развитию территорий, осуществляемая в виде территориального планирования, градостроительного зонирования и т.д.?",Градостроительная деятельность.,"Страница 3 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 1) градостроительная деятельность - деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования...",urban.pdf,law,urban
With errors,"Что такое градостратиилеьная диятелность (ошибка: опечатки, пропущена буква, неправильное написание слова)?","Деятельность по развитию территорий, осуществляемая в виде территориального планирования, градостроительного зонирования и т.д.","Страница 3 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 1) градостроительная деятельность - деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования...",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, очень подробно, что это такое, вот эта вся история с градостроительной деятельностью, как это все работает, ну в смысле, что это за штука такая, и как это вообще связано с развитием наших городов и поселков, и что там еще за зонирование такое, в общем, расскажите мне все про градостроительную деятельность, пожалуйста, что это?","Деятельность по развитию территорий, осуществляемая в виде территориального планирования, градостроительного зонирования и т.д.","Страница 3 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 1) градостроительная деятельность - деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования...",urban.pdf,law,urban
Reformulation,Является ли градостроительная деятельность деятельностью по развитию территорий?,"Да, градостроительная деятельность является деятельностью по развитию территорий.","Страница 3 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 1) градостроительная деятельность - деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования...",urban.pdf,law,urban
Incorrect by design,Включает ли градостроительная деятельность сельское хозяйство?,"Нет, не включает.","Страница 3 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 1) градостроительная деятельность - деятельность по развитию территорий, в том числе городов и иных поселений, осуществляемая в виде территориального планирования, градостроительного зонирования...",urban.pdf,law,urban
Table,,,В предоставленном тексте таблицы отсутствуют.,urban.pdf,law,urban
No info,"Каковы последние изменения в налоговом законодательстве, касающиеся криптовалют?","В данном тексте нет информации о налоговом законодательстве, касающемся криптовалют.",Нет информации.,urban.pdf,law,urban
,,,,urban.pdf,law,urban
Simple,"Что такое ""градостроительные регламенты"" согласно Градостроительному кодексу?","Градостроительные регламенты - это правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в каждой территориальной зоне. Они также устанавливают предельные параметры строительства, ограничения на использование земельных участков и объектов капитального строительства. Эти регламенты обеспечивают порядок использования и застройки территорий.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
With errors,Что такое градостроительние регламенты (ошибка: опечатки)?,"Градостроительные регламенты - это правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в каждой территориальной зоне. Они также устанавливают предельные параметры строительства, ограничения на использование земельных участков и объектов капитального строительства. Эти регламенты обеспечивают порядок использования и застройки территорий.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, что такое эти градостроительные регламенты, это какие-то правила, которые говорят, что можно строить, а что нельзя, или это вообще что-то другое, в общем, расскажите мне, зачем они нужны и как они влияют на строительство и использование земли?","Градостроительные регламенты - это правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в каждой территориальной зоне. Они также устанавливают предельные параметры строительства, ограничения на использование земельных участков и объектов капитального строительства. Эти регламенты обеспечивают порядок использования и застройки территорий.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Reformulation,Определяют ли градостроительные регламенты виды разрешенного использования земельных участков?,"Да, градостроительные регламенты определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах каждой территориальной зоны. Они также устанавливают предельные параметры строительства и ограничения на использование этих объектов.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Incorrect by design,Регулируют ли градостроительные регламенты порядок предоставления земельных участков для ведения личного подсобного хозяйства?,"Нет, градостроительные регламенты не регулируют порядок предоставления земельных участков для ведения личного подсобного хозяйства. Они определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальных зон, но не касаются процедур распределения земли для конкретных целей.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Table,,,В предоставленном тексте таблицы отсутствуют.,urban.pdf,law,urban
No info,Какие существуют программы поддержки развития инфраструктуры в сельских территориях?,"В данном тексте отсутствует информация о программах поддержки развития инфраструктуры в сельских территориях. Градостроительный кодекс регулирует градостроительную деятельность и землепользование, но не затрагивает вопросы поддержки инфраструктуры в сельской местности.",Нет информации.,urban.pdf,law,urban
,,,,urban.pdf,law,urban
