domain,set,src,txt,tp,q,a
science,oil,mining.pdf,"Характерной особенностью современной мировой нефтедобычи является
увеличение в структуре запасов доли трудноизвлекаемых нефтей (с вязкостью 30мПа и
выше). Во многих промышленно развитых странах мира тяжелая нефть рассматривается
в качестве основной базы развития нефтедобычи на ближайшие годы. Россия также
обладает значительными ресурсами трудноизвлекаемых запасов, их объем составляет
около 55 % от общих запасов российской нефти. Основные российские месторождения
высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и
Удмуртии. Наиболее крупные из них: Ван-Еганское, Северо-Комсомольское, Усинское,
Русское, Гремихинское и др., при этом более 2/3 всех запасов высоковязкой нефти
находятся на глубинах до 2000 м. На сегодня добыча высоковязкой нефти,
транспортировка ее к пунктам сбора и подготовки и, наконец, переработка с целью
получения конечных продуктов – одна из актуальных задач нефтедобывающей
промышленности в связи с ростом доли трудноизвлекаемых запасов нефти в стране",Simple,Какова доля трудноизвлекаемых запасов нефти в России и где расположены основные месторождения?,"Доля трудноизвлекаемых запасов нефти в России составляет около 55 % от общих запасов российской нефти. Основные месторождения высоковязкой (трудноизвлекаемой) нефти расположены в Пермской области, Татарстане, Башкирии и Удмуртии."
science,oil,mining.pdf,"Характерной особенностью современной мировой нефтедобычи является
увеличение в структуре запасов доли трудноизвлекаемых нефтей (с вязкостью 30мПа и
выше). Во многих промышленно развитых странах мира тяжелая нефть рассматривается
в качестве основной базы развития нефтедобычи на ближайшие годы. Россия также
обладает значительными ресурсами трудноизвлекаемых запасов, их объем составляет
около 55 % от общих запасов российской нефти. Основные российские месторождения
высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и
Удмуртии. Наиболее крупные из них: Ван-Еганское, Северо-Комсомольское, Усинское,
Русское, Гремихинское и др., при этом более 2/3 всех запасов высоковязкой нефти
находятся на глубинах до 2000 м. На сегодня добыча высоковязкой нефти,
транспортировка ее к пунктам сбора и подготовки и, наконец, переработка с целью
получения конечных продуктов – одна из актуальных задач нефтедобывающей
промышленности в связи с ростом доли трудноизвлекаемых запасов нефти в стране",With errors,Сколька процента нефти в России трудано достать и гдзе ана?,"Доля трудноизвлекаемых запасов нефти в России составляет около 55 % от общих запасов российской нефти. Основные месторождения высоковязкой (трудноизвлекаемой) нефти расположены в Пермской области, Татарстане, Башкирии и Удмуртии."
science,oil,mining.pdf,"Характерной особенностью современной мировой нефтедобычи является
увеличение в структуре запасов доли трудноизвлекаемых нефтей (с вязкостью 30мПа и
выше). Во многих промышленно развитых странах мира тяжелая нефть рассматривается
в качестве основной базы развития нефтедобычи на ближайшие годы. Россия также
обладает значительными ресурсами трудноизвлекаемых запасов, их объем составляет
около 55 % от общих запасов российской нефти. Основные российские месторождения
высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и
Удмуртии. Наиболее крупные из них: Ван-Еганское, Северо-Комсомольское, Усинское,
Русское, Гремихинское и др., при этом более 2/3 всех запасов высоковязкой нефти
находятся на глубинах до 2000 м. На сегодня добыча высоковязкой нефти,
транспортировка ее к пунктам сбора и подготовки и, наконец, переработка с целью
получения конечных продуктов – одна из актуальных задач нефтедобывающей
промышленности в связи с ростом доли трудноизвлекаемых запасов нефти в стране",Trash,"Привет, у меня тут возник вопрос по поводу сложностей нефтедобычи. Знаешь, я слышал, что в России много нефти, но насколько реально её добывать? Наверное большую часть очень сложно добывать, да?!? Особенно интересует, какая часть этой нефти считается трудноизвлекаемой и где её больше всего? Спасибо заранее!","Доля трудноизвлекаемых запасов нефти в России составляет около 55 % от общих запасов российской нефти. Основные месторождения высоковязкой (трудноизвлекаемой) нефти расположены в Пермской области, Татарстане, Башкирии и Удмуртии."
science,oil,mining.pdf,"Характерной особенностью современной мировой нефтедобычи является
увеличение в структуре запасов доли трудноизвлекаемых нефтей (с вязкостью 30мПа и
выше). Во многих промышленно развитых странах мира тяжелая нефть рассматривается
в качестве основной базы развития нефтедобычи на ближайшие годы. Россия также
обладает значительными ресурсами трудноизвлекаемых запасов, их объем составляет
около 55 % от общих запасов российской нефти. Основные российские месторождения
высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и
Удмуртии. Наиболее крупные из них: Ван-Еганское, Северо-Комсомольское, Усинское,
Русское, Гремихинское и др., при этом более 2/3 всех запасов высоковязкой нефти
находятся на глубинах до 2000 м. На сегодня добыча высоковязкой нефти,
транспортировка ее к пунктам сбора и подготовки и, наконец, переработка с целью
получения конечных продуктов – одна из актуальных задач нефтедобывающей
промышленности в связи с ростом доли трудноизвлекаемых запасов нефти в стране",Reformulation,"Какой процент российских нефтяных ресурсов представляет собой трудноизвлекаемые месторождения, и в каких регионах они преимущественно сосредоточены?","Доля трудноизвлекаемых запасов нефти в России составляет около 55 % от общих запасов российской нефти. Основные месторождения высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и Удмуртии."
science,oil,mining.pdf,"Характерной особенностью современной мировой нефтедобычи является
увеличение в структуре запасов доли трудноизвлекаемых нефтей (с вязкостью 30мПа и
выше). Во многих промышленно развитых странах мира тяжелая нефть рассматривается
в качестве основной базы развития нефтедобычи на ближайшие годы. Россия также
обладает значительными ресурсами трудноизвлекаемых запасов, их объем составляет
около 55 % от общих запасов российской нефти. Основные российские месторождения
высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и
Удмуртии. Наиболее крупные из них: Ван-Еганское, Северо-Комсомольское, Усинское,
Русское, Гремихинское и др., при этом более 2/3 всех запасов высоковязкой нефти
находятся на глубинах до 2000 м. На сегодня добыча высоковязкой нефти,
транспортировка ее к пунктам сбора и подготовки и, наконец, переработка с целью
получения конечных продуктов – одна из актуальных задач нефтедобывающей
промышленности в связи с ростом доли трудноизвлекаемых запасов нефти в стране",Incorrect by design,"В России практически нет трудноизвлекаемых запасов нефти, и основные месторождения высоковязкой нефти находятся на Крайнем Севере. Это правда?","Нет, это неверно. В России трудноизвлекаемые запасы нефти составляют около 55 % от общих запасов. Основные месторождения высоковязкой нефти расположены в Пермской области, Татарстане, Башкирии и Удмуртии."
science,oil,mining.pdf,"Обезвоженная, обессоленная и стабилизированная нефть, поставляемая
потребителю, согласно ГОСТ Р 51858-2002 подразделяется на три группы. При этом в
каждой из групп содержание воды не должно превышать 0,5 % масс., 0,5 % масс. и 1,0 %
масс., содержание хлористых солей не должно превышать 100, 300 и 900 мг/дм3
соответственно, а механических примесей должно быть не более 0,05 % масс (таблица
2.6). 

Таблица 2.6 – Группы нефтей
                                 Норма для нефти
 Наименование показателя             группы                  Методы испытания
                                 1      2      3
 Массовая доля воды, %, не                                По ГОСТ 2477 и 9.5
                                 0,5      0,5       1,0
 более                                                    настоящего стандарта
 Массовая концентрация
                                                          По ГОСТ 21534 и 9.6
 хлористых солей, мг/дм3, не     100      300       900
                                                          настоящего стандарта
 более
 Массовая доля
 механических примесей, %,               0,05             По ГОСТ 6370
 не более
 Давление насыщенных                                      По ГОСТ 1756, ГОСТ Р
 паров, кПа (мм рт. ст.), не           66,7 (500)         52340 и 9.8 настоящего
 более                                                    стандарта
 Массовая доля органических
 хлоридов во фракции,                                     По ГОСТ Р 52247 или
                                 10       10        10
 выкипающей до температуры                                приложению А (6)
 204 °С, млн-1 (ррm), не более",Table,Какие допустимые значения массовой концентрации хлористых солей установлены для нефти первой группы согласно ГОСТ Р 51858-2002?,Не более 100 мг/дм³.
science,oil,mining.pdf,"Обезвоженная, обессоленная и стабилизированная нефть, поставляемая
потребителю, согласно ГОСТ Р 51858-2002 подразделяется на три группы. При этом в
каждой из групп содержание воды не должно превышать 0,5 % масс., 0,5 % масс. и 1,0 %
масс., содержание хлористых солей не должно превышать 100, 300 и 900 мг/дм3
соответственно, а механических примесей должно быть не более 0,05 % масс (таблица
2.6). 

Таблица 2.6 – Группы нефтей
                                 Норма для нефти
 Наименование показателя             группы                  Методы испытания
                                 1      2      3
 Массовая доля воды, %, не                                По ГОСТ 2477 и 9.5
                                 0,5      0,5       1,0
 более                                                    настоящего стандарта
 Массовая концентрация
                                                          По ГОСТ 21534 и 9.6
 хлористых солей, мг/дм3, не     100      300       900
                                                          настоящего стандарта
 более
 Массовая доля
 механических примесей, %,               0,05             По ГОСТ 6370
 не более
 Давление насыщенных                                      По ГОСТ 1756, ГОСТ Р
 паров, кПа (мм рт. ст.), не           66,7 (500)         52340 и 9.8 настоящего
 более                                                    стандарта
 Массовая доля органических
 хлоридов во фракции,                                     По ГОСТ Р 52247 или
                                 10       10        10
 выкипающей до температуры                                приложению А (6)
 204 °С, млн-1 (ррm), не более",Table,"Каково максимальное допустимое содержание механических примесей в нефти, поставляемой потребителю, согласно ГОСТ Р 51858-2002?","Не более 0,05 % масс."
science,oil,mining.pdf,,No info,Какие методы применялись для поиска нефтегазовых месторождений в Удмуртии?,В документах нет информации для ответа на этот вопрос.
science,oil,mining.pdf,"5.7   Система охлаждения

НДТ 7. Применение воздушной системы охлаждения

      Описание
      Подробное описание систем воздушного охлаждения представлено в
горизонтальном справочнике НДТ ИТС 20–2016 “Промышленные системы
охлаждения”. Применение воздушной системы охлаждения вместо водной позволяет
снизить экологические воздействия и повысить экономическую эффективность
процесса.

5.12. Транспортирование нефти и газа

НДТ 16. Применение труб повышенной надёжности
      Описание
      Повышение коррозионной активности транспортируемой жидкости по
нефтепромысловым        трубопроводам      является    актуальной     проблемой
нефтедобывающих       предприятий,     препятствующей     эффективной     работе
трубопроводного транспорта и приводящей к аварийным ситуациям. Коррозионные
разрушения, отложения парафинов и солей приводили к остановкам эксплуатации
трубопроводов. Внедрение труб повышенной надежности позволяет снизить
аварийность при транспортировке нефти.

 НДТ 17. Ингибиторная защита
      Описание
      Увеличение коррозионной активности добываемой совместно с нефтью воды
при разработке месторождений с повышенной обводненностью нефти является
серьезной проблемой. Технология применения ингибиторов коррозии позволяет
снизить агрессивность добываемых сред, а также предотвращения активного контакта
металлической поверхности с окружающей средой. На металле образуется пленка,
которая существенно ограничивает площадь контакта поверхности с коррозионной
средой и служит надежным барьером, препятствующим протеканию процессов
саморастворения.

НДТ 18. Подавление жизнедеятельности сульфатвосстанавливающих
бактерий
      Описание
      Одной из причин, приводящих к разрушению нефтепромыслового оборудования
и коммуникаций от коррозии, является жизнедеятельность микроорганизмов, в
частности сульфатвосстанавливающих бактерий (СВБ). Применение бактерицидов в
системе “Пласт-скважина-узел закачки воды” позволяет подавить СВБ.",Multi block,"Опиши способы повышения эффективности транспортировки нефти и газа, а также систем охлаждения для нефтедобывающего комплекса.","Согласно ИТС-28-2017 существует несколько наилучших доступных технологий в этих разделах.

Траспортирование нефти и газа:
1) Применение труб повышенной надёжности.
2) Ингибиторная защита.
3) Подавление жизнедеятельности сульфатвосстанавливающих бактерий.

Система охлаждения:
Применение воздушной системы охлаждения вместо водной."
science,oil,mining.pdf,"Шаг 6. Принятие членами ТРГ решения об отнесении технологии к НДТ
      Технология нефтедобычи может быть определена в качестве НДТ при
достижении соглашения между всеми членами ТРГ по данному вопросу. При
возникновении различных мнений в ТРГ по какому-либо вопросу федеральным
органом исполнительной власти, ответственным за разработку информационно-
технических справочников НДТ, может быть предложено компромиссное решение. При
возникновении серьезных разногласий относительно того, какие технологии
определить в качестве НДТ, может быть проведена более углубленная комплексная
оценка технологий.
      Окончательное решение о выборе технологии принимают не только с учетом ее
«экологичности», но и с учетом ее доступности с финансовой точки зрения.
При наличии особого мнения по определению технологии нефтедобычи в
качестве НДТ, не поддерживаемого всеми членами ТРГ, такая технология может быть
определена в качестве НДТ и включена в информационно-технический справочник
НДТ, что сопровождается специальными указаниями на особое мнение и допускается
при соблюдении следующих условий:
      а) в основе особого мнения лежат данные, которыми располагает ТРГ и
федеральный орган исполнительной власти, ответственный за разработку
информационно-технических справочников НДТ, на момент подготовки выводов
относительно НДТ;
      б) заинтересованными членами ТРГ представлены обоснованные доводы для
включения технологии в перечень НДТ. Доводы являются обоснованными, если они
подтверждаются техническими и экономическими данными, данными о воздействии на
различные компоненты окружающей среды, соответствием рассматриваемой
технологии понятию «наилучшая доступная технология» и критериям определения
НДТ в соответствии с Федеральным законом от 10 января 2002 г. № 7-ФЗ «Об охране
окружающей среды»",Logical thinking,"Может ли технология нефтедобычи быть признанной наилучшей доступной технологией (НДТ), если среди членов технических рабочих групп (ТРГ) нет единогласного согласия?","Да, технология может быть определена в качестве НДТ даже если у членов ТРГ нет единогласного согласия. Сперва будет обсуждено компромиссное решение, а при возникновении серьезных разногласий будет проведена более глубокая комлексная оценка технологии. Если особое мнение основано на достоверных данных и обоснованных доводах, технология может быть включена в справочник НДТ с указанием особого мнения."
