domain,set,src,txt,tp,q,a
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Не допускайте посторонних, детей, животных ближе, чем 20 м к снегоуборщику во время
его работы. Немедленно остановите машину, если посторонние находятся
в зоне работы со снегоуборщиком.",Simple,На каком минимальном расстоянии от снегоуборщика можно находиться во время его работы?,"Не ближе, чем 20 м."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Не допускайте посторонних, детей, животных ближе, чем 20 м к снегоуборщику во время
его работы. Немедленно остановите машину, если посторонние находятся
в зоне работы со снегоуборщиком.",With errors,"С какого растаяния нильзя подходить к снегоуборщику, когда он работает?","Не ближе, чем 20 м."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Не допускайте посторонних, детей, животных ближе, чем 20 м к снегоуборщику во время
его работы. Немедленно остановите машину, если посторонние находятся
в зоне работы со снегоуборщиком.",Trash,"Слушай, у меня тут спор с другом — он говорит, что можно стоять прямо рядом со снегоуборщиком, а я думаю, что есть какое-то конкретное расстояние, на котором находиться нельзя. Есть какие-то правила по этому поводу?","Не ближе, чем 20 м."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Не допускайте посторонних, детей, животных ближе, чем 20 м к снегоуборщику во время
его работы. Немедленно остановите машину, если посторонние находятся
в зоне работы со снегоуборщиком.",Reformulation,Какое расстояние считается безопасным для людей и животных при работе снегоуборщика?,"Не ближе, чем 20 м."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Не допускайте посторонних, детей, животных ближе, чем 20 м к снегоуборщику во время
его работы. Немедленно остановите машину, если посторонние находятся
в зоне работы со снегоуборщиком.",Incorrect by design,"Верно ли, что безопасное расстояние для людей рядом со снегоуборщиком составляет 10 метров?","Нет, это неверно. Люди должны находиться ближе 20 метров к снегоуборщику во время его работы."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Характеристика	PS 550D	PS 650DE	PS 650DDE
Система запуска	Ручной	Электростартер/аккумулятор	Электростартер
Макс. мощность, л.с.	5,5	6,5	6,5
Количество скоростей	5 вперед / 2 назад	Вариатор	Вариатор
Ширина захвата, см	56	62	56
Высота захвата, см	51	51	51
Дальность выброса, м	10	13	13
Угол/направление выброса	190° / 70°	190° / 70°	185° / 70°
Шнек	Металлический	Металлический	Металлический
Вес, кг	75	80	78
Привод	Колесный/самоходный	Колесный/самоходный	Колесный/самоходный",Table,Какой максимальной мощности двигатель установлен в модели PS 650DE?,"6,5 л.с."
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"Характеристика        PS 550D        PS 650DE        PS 650DDE
Система запуска        Ручной        Электростартер/аккумулятор        Электростартер
Макс. мощность, л.с.        5,5        6,5        6,5
Количество скоростей        5 вперед / 2 назад        Вариатор        Вариатор
Ширина захвата, см        56        62        56
Высота захвата, см        51        51        51
Дальность выброса, м        10        13        13
Угол/направление выброса        190° / 70°        190° / 70°        185° / 70°
Шнек        Металлический        Металлический        Металлический
Вес, кг        75        80        78
Привод        Колесный/самоходный        Колесный/самоходный        Колесный/самоходный",Table,Какой угол выброса снега у модели PS 650DDE?,185°
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,,No info,"Какие экологические стандарты выбросов соблюдают двигатели снегоуборщиков PS 550D, PS 650DE и PS 650DDE?",В документах нет информации для ответа на этот вопрос.
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"ПРИМЕЧАНИЕ: Тросы не поддаются регулировке в том случае, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.",Simple,В каких случаях тросы не поддаются регулировке?,"Тросы не поддаются регулировке, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.

"
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"ПРИМЕЧАНИЕ: Тросы не поддаются регулировке в том случае, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.",With errors,В каких случая троссы не паддаются регулировкэ?,"Тросы не поддаются регулировке, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.

"
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"ПРИМЕЧАНИЕ: Тросы не поддаются регулировке в том случае, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.",Trash,"Привет! У меня проблема с машиной, что-то с тросами, короче, они вообще не хотят регулироваться. Может, это как-то связано с тем, что у меня шнеки крутятся, даже если рычаг отпущен? Или, например, колеса двигаются сами по себе? Как это исправить?","Тросы не поддаются регулировке, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.

"
tech,expluatation,https://prof-tech.ru/upload/iblock/2d2/2d2cc5915981193cdb16f31e7dfd4e8a.pdf,"ПРИМЕЧАНИЕ: Тросы не поддаются регулировке в том случае, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.",Reformulation,При каких обстоятельствах не удастся внести изменения в натяжение тросов?,"Тросы не поддаются регулировке, если шнеки продолжают вращаться при отпущенном рычаге привода шнека и/или машина продолжает двигаться при отпущенном рычаге привода колес.

"
