domain,set,src,txt,tp,q,a
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.,Simple,Как делится функционирование системы «1С:Предприятие»?,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.,With errors,"Как фукционерует системма «1С:Преприятие», на какие этапы она раздилена?",Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.,Trash,"Привет! Мне надо понять, как именно работает эта программа. Я слышал, что в «1С:Предприятие» есть какие-то этапы, но не уверен, правда это или нет. Может, есть настройка, а может, просто сразу можно работать? Еще важно, чтобы это не заняло много времени, так что если есть быстрый способ запустить, подскажите.",Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.,Reformulation,Какие ключевые стадии определяют процесс работы с «1С:Предприятие»?,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: настройку (конфигурирование) и непосредственную работу пользователя по ведению учета или выполнению различных расчетов.,Incorrect by design,"В «1С:Предприятие» пользователь сначала работает, а потом настраивает систему?","Нет, наоборот. Функционирование системы «1С:Предприятие» делится на два разделенных во времени процесса: сначала выполняется настройка (конфигурирование), а затем пользователь работает с системой, ведя учет или выполняя расчеты."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Пункт меню	Действие
Зафиксировать таблицу	Фиксирует верхние строки и левые колонки табличного документа таким образом, чтобы при перелистывании они постоянно присутствовали на экране.
Отображать сетку	Включает и отключает показ сетки табличного документа – тонких линий, разделяющих ячейки таблицы.
Отображать заголовки	Управляет показом заголовков строк и колонок табличного документа.
Отображать группы	Включает и отключает показ групп – областей слева от заголовков строк и сверху от заголовков колонок.
Редактирование	Включает и отключает запрет на любые изменения в табличном документе.
Отображать примечания	Включает и отключает режим показа примечаний.
Черно-белый просмотр	Отключает и включает показ цветов, заданных для табличного документа. При включении этого пункта (в меню напротив него появляется галочка) все цвета будут определяться установками операционной системы Microsoft Windows.
Режим просмотра страниц	Отключает и включает показ минимального количества строк (определяется введенной информацией), области печати, разрывов страниц.
Масштаб	Дискретно масштабирует изображение. При выборе этого пункта открывается подменю, в котором можно выбрать желаемый масштаб изображения табличного документа.",Table,"Какой пункт меню нужно выбрать, чтобы верхние строки и левые колонки оставались на экране при прокрутке?",Зафиксировать таблицу.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Пункт меню	Действие
Зафиксировать таблицу	Фиксирует верхние строки и левые колонки табличного документа таким образом, чтобы при перелистывании они постоянно присутствовали на экране.
Отображать сетку	Включает и отключает показ сетки табличного документа – тонких линий, разделяющих ячейки таблицы.
Отображать заголовки	Управляет показом заголовков строк и колонок табличного документа.
Отображать группы	Включает и отключает показ групп – областей слева от заголовков строк и сверху от заголовков колонок.
Редактирование	Включает и отключает запрет на любые изменения в табличном документе.
Отображать примечания	Включает и отключает режим показа примечаний.
Черно-белый просмотр	Отключает и включает показ цветов, заданных для табличного документа. При включении этого пункта (в меню напротив него появляется галочка) все цвета будут определяться установками операционной системы Microsoft Windows.
Режим просмотра страниц	Отключает и включает показ минимального количества строк (определяется введенной информацией), области печати, разрывов страниц.
Масштаб	Дискретно масштабирует изображение. При выборе этого пункта открывается подменю, в котором можно выбрать желаемый масштаб изображения табличного документа.",Table,"Какой пункт меню позволит отключить цветное отображение и использовать только цвета, заданные в настройках Windows?",Черно-белый просмотр.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,,No info,Какие изменения были внесены в версию 1С:Предприятие 8.4 по сравнению с 1С:Предприятие 8.3?,В документах нет информации для ответа на этот вопрос.
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Гиперссылка
В форме могут располагаться элементы управления, представляющие собой текст, при наведении указателя мыши на который указатель принимает вид руки и появляется подчеркивание. Такой элемент называется Гиперссылка. Он предназначен для перехода к некоторому объекту (например, открытия других форм). Для выбора гиперссылки следует щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab и нажать клавишу Enter. Настройка отработки нажатия гиперссылки определяется при проектировании конфигурации. Гиперссылку могут иметь и картинки, размещенные в форме. При поднесении указателя мыши к картинке с гиперссылкой форма указателя также принимает вид.",Simple,Как можно выбрать гиперссылку в форме?,"Для выбора гиперссылки можно щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab, а затем нажать клавишу Enter."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Гиперссылка
В форме могут располагаться элементы управления, представляющие собой текст, при наведении указателя мыши на который указатель принимает вид руки и появляется подчеркивание. Такой элемент называется Гиперссылка. Он предназначен для перехода к некоторому объекту (например, открытия других форм). Для выбора гиперссылки следует щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab и нажать клавишу Enter. Настройка отработки нажатия гиперссылки определяется при проектировании конфигурации. Гиперссылку могут иметь и картинки, размещенные в форме. При поднесении указателя мыши к картинке с гиперссылкой форма указателя также принимает вид.",With errors,Как выброть гиперсылку в форма?,"Для выбора гиперссылки можно щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab, а затем нажать клавишу Enter."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Гиперссылка
В форме могут располагаться элементы управления, представляющие собой текст, при наведении указателя мыши на который указатель принимает вид руки и появляется подчеркивание. Такой элемент называется Гиперссылка. Он предназначен для перехода к некоторому объекту (например, открытия других форм). Для выбора гиперссылки следует щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab и нажать клавишу Enter. Настройка отработки нажатия гиперссылки определяется при проектировании конфигурации. Гиперссылку могут иметь и картинки, размещенные в форме. При поднесении указателя мыши к картинке с гиперссылкой форма указателя также принимает вид.",Trash,"Привет, у меня тут проблема, не могу понять, как эта штука работает. Когда я кликаю по тексту, иногда он открывает другую страницу, а иногда ничего не происходит. Может, я что-то не так делаю? Короче, вопрос: как вообще выбирать гиперссылку?","Для выбора гиперссылки можно щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab, а затем нажать клавишу Enter."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Гиперссылка
В форме могут располагаться элементы управления, представляющие собой текст, при наведении указателя мыши на который указатель принимает вид руки и появляется подчеркивание. Такой элемент называется Гиперссылка. Он предназначен для перехода к некоторому объекту (например, открытия других форм). Для выбора гиперссылки следует щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab и нажать клавишу Enter. Настройка отработки нажатия гиперссылки определяется при проектировании конфигурации. Гиперссылку могут иметь и картинки, размещенные в форме. При поднесении указателя мыши к картинке с гиперссылкой форма указателя также принимает вид.",Reformulation,"Какие способы существуют для активации текстового элемента, который используется для перехода к другому объекту?","Для выбора гиперссылки можно щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab, а затем нажать клавишу Enter."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Гиперссылка
В форме могут располагаться элементы управления, представляющие собой текст, при наведении указателя мыши на который указатель принимает вид руки и появляется подчеркивание. Такой элемент называется Гиперссылка. Он предназначен для перехода к некоторому объекту (например, открытия других форм). Для выбора гиперссылки следует щелкнуть по ней мышью или сделать ее активной клавишами Tab и Shift + Tab и нажать клавишу Enter. Настройка отработки нажатия гиперссылки определяется при проектировании конфигурации. Гиперссылку могут иметь и картинки, размещенные в форме. При поднесении указателя мыши к картинке с гиперссылкой форма указателя также принимает вид.",Incorrect by design,"тобы активировать гиперссылку, необходимо навести указатель мыши и дважды щелкнуть левой кнопкой. Верно?","Нет, для выбора гиперссылки достаточно одного щелчка мышью или можно сделать ее активной с помощью клавиш Tab и Shift + Tab, а затем нажать клавишу Enter.

"
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Контекст:
Группировка
Чтобы сгруппировать записи в списке, следует в диалоге настройки нажать кнопку выбора в поле Группировка и в открывшемся диалоге настройки группировки добавить поле, по которому необходимо провести группировку. Если было выбрано несколько полей, то записи в списке будут последовательно сгруппированы в порядке, установленном для полей группировки.
Чтобы применить настройку группировки, следует нажать кнопку OK.
ПРИМЕЧАНИЕ: Группировка списка по полям, содержащим строки неограниченной длины, не разрешается.",Simple,Как сгруппировать записи в списке?,"Чтобы сгруппировать записи в списке, необходимо в диалоге настройки нажать кнопку выбора в поле «Группировка» и в открывшемся диалоге добавить поле для группировки. Если выбрано несколько полей, записи будут сгруппированы в указанном порядке. Чтобы применить настройку, нужно нажать кнопку OK."
tech,instructions,https://v8.1c.ru/upload/static/instrukciya-po-ehkspluatacii-v8.pdf,"Контекст:
Группировка
Чтобы сгруппировать записи в списке, следует в диалоге настройки нажать кнопку выбора в поле Группировка и в открывшемся диалоге настройки группировки добавить поле, по которому необходимо провести группировку. Если было выбрано несколько полей, то записи в списке будут последовательно сгруппированы в порядке, установленном для полей группировки.
Чтобы применить настройку группировки, следует нажать кнопку OK.
ПРИМЕЧАНИЕ: Группировка списка по полям, содержащим строки неограниченной длины, не разрешается.",With errors,Как сгррупирывать записы в спике?,"Чтобы сгруппировать записи в списке, необходимо в диалоге настройки нажать кнопку выбора в поле «Группировка» и в открывшемся диалоге добавить поле для группировки. Если выбрано несколько полей, записи будут сгруппированы в указанном порядке. Чтобы применить настройку, нужно нажать кнопку OK."
